Asbtractor User Name	DB_ID	A2 Authors_Primary	A3 Title Primary	A4 Periodical Full	A4 Periodical Abbrev	A5 Pub Year	A6 Volume	A7 Issue	A8 Start Page	A8 Other Pages	A9 Abstract
cugartegil 	6873	"Mehrotra,A. N.;Jain,B. S.;Anand,G. S."	Comparative evaluation of pilocarpine 2% and combined guanethidine 1% & adrenaline 0.5% in the treatment of chronic simple glaucoma	Indian journal of ophthalmology	Indian J.Ophthalmol.	1987	35	3	146	148	 
cugartegil 	3964	"Takmaz,T.;Asik,S.;Kurkcuoglu,P.;Gurdal,C.;Can,I."	Comparison of intraocular pressure lowering effect of once daily morning vs evening dosing of latanoprost/timolol maleate combination	 	"European Journal of Ophthalmology.18(1)(pp 60-65), 2008.Date of Publication: Jan 2008."	 	 	 	 	 	"PURPOSE. TO compare intraocular pressure (IOP) reduction profiles of latanoprost-timolol maleate fixed combination (LTFC) administered in the morning or evening in primary open angle glaucoma (POAG). METHODS. A prospective, randomized study including 60 eyes of 30 patients with POAG was carried out. Patients were randomized to treatment with LTFC at 8 PM (Group 1) or at 8 AM (Group 2). After therapy of 4 weeks, IOP was measured at 2 AM, 6 AM, 10 AM, 2 PM, 6 PM, and 10 PM and compared with baseline values and latanoprost therapy alone. RESULTS. Mean diurnal baseline IOPs and IOPs after treatment with latanoprost and LTFC were 23.6+/-2.6, 16.7+/-2.3, and 15.5+/-2.2 mmHg in Group 1 and 23.1 +/-2.6, 16.9+/-2.4, and 15.7+2.4 mmHg in Group 2. LTFC lowered IOP more than latanoprost at all time points in both groups (p0.05). According to IOP reduction from baseline, there was a statistically significant difference between groups in favor of Group 1 at 6 AM, 10 AM, and mean diurnal measurement (p<0.01). CONCLUSIONS. Both morning and evening dosing of LTFC were effective in lowering diurnal IOP in patients with POAG. However, evening dosing of LTFC seemed to be more effective in controlling IOP especially in the morning and avoiding the fluctuations with lower range of IOP. copyright Wichtig Editore, 2008."
cugartegil 	5163	"Sanchez,J. G."	Efficacy and side effects of latanoprost monotherapy compared to adding dorzolamide to timolol in patients with glaucoma and ocular hypertension - A three-month randomised study	European journal of ophthalmology	Eur.J.Ophthalmol.	2000	10	3	198	204	"Purpose. To compare the efficacy and safety of latanoprost monotherapy or dorzolamide and timolol in glaucoma patients inadequately controlled on adrenergic beta-receptor antagonist therapy. Methods. A total of 164 patients with primary open-angle glaucoma, capsular glaucoma or ocular hypertension were included in a three-month, open-label, randomised multicentre study. Patients with open-angle glaucoma were required to have IOP at least 22 mmHg and patients with ocular hypertension were required to have IOP at least 27 mmHg, on treatment with one or two ocular hypotensive drugs of which at least one had to be a beta-blocker. All patients were treated with timolol, 5 mg/ml twice daily, for a 2-4 week run-in period. They were then randomised to latanoprost, 50 mug/ml once daily, or timolol 5 mg/ml plus dorzolamide, 20 mg/ml twice daily. The difference in mean diurnal IOP change from baseline to month 3 was compared in the two groups. Results. When patients were switched to latanoprost, mean diurnal IOP was reduced by 5.2 mmHg (23%) compared to 4.0 mmHg (17%) in the group in which dorzolamide was added to timolol. The difference of 1.2 mmHg was statistically significant (p = 0.005). The majority of adverse events during both treatments were judged as mild. Conclusions. The results suggest that a switch to latanoprost monotherapy is an alternative to combined treatment with timolol and dorzolamide in patients inadequately controlled on a topical adrenergic beta-receptor antagonist alone. Number of References 9. Copyright Ω 2009 Elsevier B. V., Amsterdam. All Rights Reserved."
cugartegil 	5189	"Serle,J. B."	A comparison of the safety and efficacy of twice daily brimonidine 0.2% versus betaxolol 0.25% in subjects with elevated intraocular pressure. The Brimonidine Study Group III	Survey of ophthalmology	Surv.Ophthalmol.	1996	41 Suppl 1	 	S39	47	"The safety and ocular hypotensive efficacy of twice-daily administration of brimonidine 0.2% solution or betaxolol 0.25% suspension were compared in subjects with open-angle glaucoma or ocular hypertension. A total of 206 adult patients were enrolled in a prospective, 3-month, multicentered, randomized, double-masked, parallel-group study. Both drugs significantly (p < 0.001) reduced peak and trough intraocular pressure (IOP) at every scheduled follow-up visit over the 3-month study. At peak, the overall mean decrease from baseline IOP was greater (p = 0.004) in the brimonidine-treated group (5.8 mm Hg) than in the betaxolol-treated group (3.8 mm Hg). At trough, the overall mean decrease from baseline (p < 0.001) was 3.9 mm Hg in the brimonidine-treated group and 3.2 mm Hg in the betaxolol-treated group. The IOP-lowering effect of brimonidine was sustained throughout the 3-month study period. Terminations from the study due to lack of efficacy included 2.9% (3/103) of patients in the brimonidine group and 4.2% (4/96) of those in the betaxolol group. The overall incidence of adverse events was similar in both treatment groups, with the only significant (p = 0.027) between-group difference being that ocular blurring was reported more often by patients receiving betaxolol suspension than by those receiving brimonidine treatment. Instillation of drug was reported to be comfortable (p = 0.036) by more brimonidine-treated patients than betaxolol-treated patients. Overall, brimonidine 0.2% solution was well-tolerated, safe and clinically and statistically more effective than betaxolol 0.25% suspension in lowering intraocular pressure in patients with open-angle glaucoma or ocular hypertension."
cugartegil 	1221	"Francis,B.;A;Du,L.;T;Berke,S.;Ehrenhaus,M.;Minckler,D.;S"	Comparing the fixed combination dorzolamide-timolol (cosopt) to concomitant administration of 2% dorzolamide (trusopt) and 0.5% Timolol - a randomized controlled trial and a replacement study	 	"Journal of Clinical Pharmacy and Therapeutics.29(4)(pp 375-380), 2004.Date of Publication: Aug 2004."	 	 	 	 	 	"Purpose: To compare the intraocular pressure (IOP) lowering effect of concomitant administration of 0.5% timolol and 2% dorzolamide and a fixed combination dorzolamide-timolol (Cosopt). To critically evaluate discrepancies between phase 3 clinical trials and prior replacement studies. Design: A prospective, randomized, controlled clinical trial and a prospective, non-randomized comparative replacement trial. Participants/interventions: In a national multicentre trial, 131 patients were randomized to dorzolamide-timolol or a topical carbonic anhydrase inhibitor (CAI) and non-selective beta-blocker following a 1-month run-in using the separate components. Peak (maximal drug effect) and trough (minimal drug effect) IOPs were measured at baseline and 1 month after treatment. The replacement therapy study enrolled 404 consecutive glaucoma patients using a non-selective beta-blocker and dorzolamide and changed treatment to the fixed combination. Mean IOPs at the same time of day were compared before and 1 month after changeover. Main outcome measure: The main outcome measure was IOP, comparing baseline and on-therapy measurements at study conclusion between the two arms of the randomized trial and before and after switching therapy in the replacement trial. Results: In the randomized trial, the mean base-line peak and trough IOPs were 18.4 and 21.0 mmHg in the group randomized to combination therapy and 17.6 and 19.8 mmHg in the dual drug group. After randomization and treatment for four weeks, the peak and trough IOPs were 17.6 and 19.5 mmHg in the combination group and 17.3 and 19.0 mmHg in the concomitant group. The percentage change in IOP was -3.2% at peak and -6.5% at trough for the combination and -0.3 and -3.2% for the concomitant group. These differences did not show statistical significance. In the replacement study, mean baseline IOP was 19.4 mmHg. Four weeks after initiation of treatment on the fixed combination, a significant additional IOP reduction of 1.7 mmHg (-8.8%) was observed (P < 0.0001). Overall, 81% of eyes exhibited equal or lower IOP on the fixed combination compared with concomitant therapy. Conclusion: The results of the randomized trial indicate that the fixed combination dorzolamide-timolol (Cosopt) was as effective as its components in controlling IOP, confirming results seen in phase 3 clinical trials. However, in the replacement study, utilization of the combination drug offered a statistically significant additional IOP reduction (P < 0.0001), which duplicates results from previous replacement studies. Drug Trade Names and Manufacturers cosopt trusopt"
cugartegil 	2805	"Narayanaswamy,A.;Neog,A.;Baskaran,M.;George,R.;Lingam,V.;Desai,C.;Rajadhyaksha,V."	"A randomized, crossover, open label pilot study to evaluate the efficacy and safety of xalatan in comparison with generic latanoprost (latoprost) in subjects with primary open angle glaucoma or ocular hypertension"	Indian journal of ophthalmology	Indian J.Ophthalmol.	2007	55	2	127	131	"AIM: To compare the efficacy and tolerability of Xalatan with generic latanoprost (Latoprost) in subjects with primary open angle glaucoma (POAG) or ocular hypertension (OH). MATERIALS AND METHODS: This was a single-center, randomized, open label, crossover, two period comparative study. At the baseline visit, subjects were randomized to two groups. Group A received Xalatan for weeks 1-12 followed by Latoprost for weeks 13-24. Group B received Latoprost for weeks 1-12 followed by Xalatan for weeks 13-24. RESULTS: 30 subjects were recruited, 12 in Group A and 18 in Group B. In subjects administered Xalatan, intraocular pressure (IOP) showed a greater decrease (P < 0.001) from 23.64 +/- 3.13 mmHg at baseline to 14.29 +/- 1.61 mmHg at week 12 (fall of 9.35 +/- 3.55 mmHg, 38.66% +/- 10.29) than that seen in the Latoprost group (22.74 +/- 2.47 mmHg to 16.98 +/- 2.49 mmHg, fall of 5.76 +/- 1.41 mmHg; 25.42% +/- 5.98). In period 2 when subjects were crossed over to Xalatan from Latoprost, there was a further fall from 16.98 +/- 2.49 mmHg to 16.09 +/- 1.49 at week 24 (fall of 0.89 +/- 1.59 mmHg; 4.3% +/- 8.76). However, when subjects were crossed over to Latoprost from Xalatan, the IOP rose from 14.29 +/- 1.61 mmHg to 15.36 +/- 1.71 mmHg at week 24 (8.86% +/- 17.76). There was no significant difference in incidence of conjunctival hyperemia or any other adverse events in both the groups. CONCLUSION: The magnitude of IOP lowering in patients with POAG and OH with Xalatan and Latoprost is different. In our study, the IOP lowering with Xalatan was higher than that with Latoprost. CAS Registry/EC Number/Name of Substance 0 (Antihypertensive Agents). 0 (Drugs, Generic). 0 (Ophthalmic Solutions). 0 (Prostaglandins F, Synthetic). 130209-82-4 (latanoprost)."
cugartegil 	6168	"Goldberg,I.;Ashburn,F. S., J.;Kass,M. A.;Becker,B."	Efficacy and patient acceptance of pilocarpine gel	American Journal of Ophthalmology	Am.J.Ophthalmol.	1979	88	5	843	846	"Fifteen patients with symmetrically increased intraocular pressure (IOP) participated in a single-masked random 30-day clinical trial comparing 4% pilocarpine hydrochloride gel applied at bedtime to one eye with 4% pilocarpine hydrochloride drops instilled four times daily in the fellow eye. Both forms of pilocarpine reduced IOP significantly at 8 A.M., 12 noon, and 4 P.M. (P less than .01). At these times there was no significant difference in effect between the two forms of pilocarpine (P greater than .05). The mean IOP of eyes treated with gel showed no significant difference from the pretreatment value at 10 P.M. (P = .37), whereas at this time eyes treated with drops did maintain a significant IOP reduction (P = .02). At 10 P.M. pilocarpine drops reduced IOP significantly more than did pilocarpine gel (P = .002). Pupil diameter was affected by the gel and drops in a similar pattern to that of IOP. Patients tolerated the gel with few side effects and were pleased by the convenience of administration once daily."
cugartegil 	8311	"Larsson,L. I."	Intraocular pressure over 24 hours after repeated administration of latanoprost 0.005% or Timolol gel-forming solution 0.5% in Patients with ocular hypertension	Ophthalmology	Ophthalmology	2001	108	8	1439	1444	"Purpose: To compare the effect on intraocular pressure (IOP) over 24 hours after 4 weeks of treatment with latanoprost 0.005% and timolol gel 0.5%. Design: Randomized, open, crossover single-center study. Participants: Twenty-seven patients with ocular hypertension. Methods: The patients were randomly assigned to 4 weeks of latanoprost 0.005% once daily or timolol gel 0.5% once daily, with a 4-week washout period before switching therapy. Main Outcome Measures: Measurement of IOP during 24 hours of hospitalization. Blood pressure and heart rate were also measured repeatedly over the 24 hours. Daytime mean IOP, nighttime mean IOP, and 24-hour mean IOP were calculated as IOP area under the curve (AUC) divided by time in hours. Results: The mean IOP during daytime (7 AM to 10 PM) was 13.5 +/- 0.4 mmHg (daytime IOP, AUC/15 hours, least square mean +/- standard error of the mean [SEM]) in the latanoprost group, and 14.8 +/- 0.4 mmHg in the timolol gel group. This difference of 1.3 +/- 0.3 mmHg was statistically significant in favor of latanoprost (P < 0.001; 95% confidence interval [CI], 0.7, 2.0). The mean IOP at night (10 PM to 7 AM) was 13.7 +/- 0.4 mmHg for latanoprost (nighttime IOP, AUC/9 hours, least square mean +/- SEM) and 15.9 +/- 0.5 mmHg for timolol gel, with a difference of 2.2 +/- 0.3 mmHg (P < 0.001; 95% CI, 1.5, 2.8). At every measured time point during the 24 hours, latanoprost reduced IOP more than timolol. There was no difference between the two treatment groups regarding blood pressure and heart rate. Conclusions: Latanoprost reduced mean 24-hour IOP, mean daytime IOP, and mean nighttime IOP statistically significantly more than timolol. Also, latanoprost reduced IOP more effectively at every measured time point over the 24 hours compared with timolol gel. copyright 2001 by the American Academy of Ophthalmology."
cugartegil 	3385	"Rouland,J. F.;Morel-Mandrino,P.;Elena,P. P.;Polzer,H.;Sunder Raj,P."	Timolol 0.1% Gel (nyogel 0.1% Once daily versus conventional timolol 0.5% Solution twice daily: a comparison of efficacy and safety	Ophthalmologica	Ophthalmologica	2002	216	6	449	454	"In a prospective, randomised, double-masked, parallel-group, multi-centre study, 210 patients with primary open angle glaucoma or ocular hypertension were enrolled of whom 167 (timolol 0.1% gel 82, timolol 0.5% 85) completed the study as per protocol. The change in intraocular pressure between baseline and week 12 in the worse eye ('at trough') was 6.3 (SD 3.3) mm Hg on timolol 0.1% gel and 7.0 (2.9) mm Hg on timolol 0.5%; this difference was not statistically significant (p = 0.19). The difference between the two study groups in the change of intraocular pressure from baseline was 0.62 mm Hg; the 90% CI of -0.09 to +1.33 mm Hg was within the pre-specified limits of -1.5 to +1.5 mm Hg demonstrating equivalence between timolol 0.1% gel and timolol 0.5%. The plasma levels of timolol (ng/ml) at 12 weeks in the timolol 0.1% gel group were significantly less than that with timolol 0.5% both before instillation (mean 0.057, SD 0.131 and mean 0.470, SD 0.519 respectively, p = 0.025) and after instillation (mean 0.552, SD 0.992 and mean 2.473, SD 1.780 respectively, p = 0.008). Both treatments were well tolerated with no statistically significant difference between the groups in the occurrence of ocular or systemic adverse events. Copyright 2002 S. Karger AG, Basel CAS Registry/EC Number/Name of Substance 0 (Antihypertensive Agents). 0 (Gels). 0 (Ophthalmic Solutions). 26839-75-8 (Timolol)."
cugartegil 	8050	"Cantor,L. B.;Safyan,E.;Liu,C. C.;Batoosingh,A. L."	Brimonidine-purite 0.1% versus brimonidine-purite 0.15% twice daily in glaucoma or ocular hypertension: A 12-month randomized trial	Current medical research and opinion	Curr.Med.Res.Opin.	2008	24	7	2035	2043	"Objective: To compare the safety and intraocular pressure (IOP)-lowering effects of brimonidine-purite:): 0.1% with the marketed formulation of brimonidine-purite 0.15% (Alphagan P[section] 0.15%) when used twice daily (BID) by patients with glaucoma or ocular hypertension previously treated with brimonidine-purite 0.15% for at least 6 weeks. Methods: In a 12-month, randomized, double-masked, multicenter, parallel group, non-inferiority study, patients with glaucoma or ocular hypertension who were treated with brimonidine-purite 0.15% BID were randomly assigned to continue brimonidine-purite 0.15% (n = 102) or to administer brimonidine-purite 0.1% (n = 105) BID for 12 months. IOP was measured at approximately 8 a.m. (hour 0) and 10 a.m. (hour 2). Main outcome measures: Mean change from baseline IOP and adverse events. Results: Demographics and baseline characteristics were similar between treatment groups. Treated-baseline mean IOPs at both timepoints were similar between groups (p [greater-than or equal to] 0.606). Brimonidine-purite 0.1% provided IOP-lowering that was non-inferior to brimonidine-purite 0.15% at each of the 12 follow-up timepoints, and there were no statistically significant between-group differences at any timepoint. The most commonly reported adverse event was conjunctival hyperemia (13.5% for brimonidine-purite 0.1%; 10.8% for brimonidine-purite 0.15%). No significant differences in the incidence of adverse events were noted between the two formulations. Conclusions: Brimonidine-purite 0.1% BID is as effective as brimonidine-purite 0.15% BID in lowering IOP in patients with glaucoma or ocular hypertension who were previously treated with brimonidine-purite 0.15%, and both formulations are well tolerated. Limitations of the study include enrollment of only patients who were already on treatment with brimonidine-purite 0.15%. The 0.1% formulation of brimonidine-purite allows for decreased exposure to brimonidine while providing an IOP-lowering effect comparable to that of the 0.15% formulation. Clinical trial registered at clinicaltrials.gov; identifier: NCT00168363. copyright 2008 Informa UK Ltd. All rights reserved."
