internalid	sourceid	pubmedid_search	keywords	abstract	title	journal	authors	tags	J	trials	pubmedid	pdf	extractor	userID	assigned	done	comments
486063	7944569	7944569	"Aged,Air Pollutants/*adverse effects/analysis,*Hospitalization,Humans,Lung Diseases, Obstructive/*chemically induced/epidemiology,Minnesota/epidemiology,Ozone/*adverse effects/analysis,Particle Size,Pneumonia/*chemically induced/epidemiology,Ri"	"Several recent studies have reported associations between airborne particles and/or ozone and hospital admissions for respiratory disease. PM10 has rarely been used as the particle exposure measure, however. This study examined whether such an "	"PM10, ozone, and hospital admissions for the elderly in Minneapolis-St. Paul, Minnesota."	Archives of environmental health	Schwartz J		1	issa_tufts	7944569	pdf	amy	6	yes		
484720	9366623	9366623	"Aged,Air Pollutants/analysis,Air Pollution/adverse effects/*statistics & numerical data,Algorithms,Cause of Death,Confidence Intervals,Female,Humans,Male,Middle Aged,Models, Statistical,*Mortality,Philadelphia/epidemiology,Poisson Distribution,"	"Analyses involving data from many locations throughout the world have now been conducted to assess the association between air pollution and mortality. To date, six independent analyses of mortality data for Philadelphia, Pennsylvania, have bee"	"Air pollution and mortality in Philadelphia, 1974-1988."	American journal of epidemiology	Kelsall JE and Samet JM and Zeger SL and Xu J		1	issa_Tufts	9366623	pdf	amy	6	yes		
485344	10544154	10544154	"Adolescent,Adult,Aged,Air Pollution/*adverse effects,Child,Child, Preschool,Female,Humans,Infant,Infant, Newborn,Korea/epidemiology,Male,Middle Aged,*Mortality,Particle Size,Regression Analysis,Risk Assessment"	"To evaluate the relative importance of various measures of particulate and gaseous air pollution as predictors of daily mortality in Inchon, South Korea, the association between total daily mortality and air pollution was investigated for a 20-"	"PM(10) exposure, gaseous pollutants, and daily mortality in Inchon, South Korea."	Environmental health perspectives	Hong YC and Leem JH and Ha EH and Christiani DC		1	issa_tufts	10544154	pdf	amy	6	yes		
485490	12460805	12460805	"Aged,Air Pollutants/*adverse effects,Arrhythmias, Cardiac/*complications,Carbon Monoxide/*adverse effects,Epidemiologic Studies,Female,Heart Failure/*complications,Humans,Incidence,Male,Middle Aged,Myocardial Ischemia/*epidemiology/*etiology/th"	We examined whether ischemic heart disease (IHD) hospital admissions were associated with air pollutants in those with and without secondary diagnoses of arrhythmia (ARR) or congestive heart failure (CHF). We assessed the occurrence of increase	Air pollution and hospital admissions for ischemic heart disease in persons with congestive heart failure or arrhythmia.	Environmental health perspectives	Mann JK and Tager IB and Lurmann F and Segal M and Quesenberry CP Jr and Lugg MM and Shan J and Van Den Eeden SK		1	issa_Tufts	12460805	pdf	amy	6	yes		
484314	12490649	12490649	"Air Pollutants/*adverse effects,Asthma/*epidemiology/etiology,Carbon Monoxide/adverse effects,Child,Cross-Over Studies,Environmental Exposure/adverse effects,Female,Gases/adverse effects,Hospitalization/*statistics & numerical data,Humans,Logis"	STUDY OBJECTIVE: Assess associations between short-term exposure to gaseous pollutants and asthma hospitalisation among boys and girls 6 to12 years of age. DESIGN: A bi-directional case-crossover analysis was used. Conditional logistic regressi	Effect of short-term exposure to gaseous pollution on asthma hospitalisation in children: a bi-directional case-crossover analysis.	Journal of epidemiology and community health	Lin M and Chen Y and Burnett RT and Villeneuve PJ and Krewski D		1	issa_HARVARD	12490649	pdf	amy	6	yes		
485015	15031567	15031567	"Adolescent,Adult,Air Pollutants/analysis,Air Pollution/*statistics & numerical data,Asthma/*epidemiology,Child,Child, Preschool,Cross-Over Studies,Emergency Service, Hospital/*statistics & numerical data,Female,France/epidemiology,Humans,Logist"	BACKGROUND: The 'case-crossover' design is a strategy fitted to studying transient effects of intermittent exposure on acute-onset disease occurring shortly after exposure. It has the important advantage of eliminating most confounding variable	Visits to the emergency room for asthma attacks and short-term variations in air pollution. A case-crossover study.	Respiration; international review of thoracic diseases	Boutin-Forzano S and Adel N and Gratecos L and Jullian H and Garnier JM and Ramadour M and Lanteaume A and Hamon M and Lafay V and Charpin D		1	issa_tufts	15031567	pdf	amy	6	yes		
485516	15550600	15550600	"Air Pollution/*adverse effects/statistics & numerical data,Confounding Factors (Epidemiology),Cross-Over Studies,Environmental Exposure/adverse effects/statistics & numerical data,Humans,*Mortality,Particle Size,Risk Assessment/methods,Seasons,"	"BACKGROUND: Numerous studies have reported that day-to-day changes in particulate air pollution are associated with day-to-day changes in deaths. Recently, several reports have indicated that the software used to control for season and weather "	The effects of particulate air pollution on daily deaths: a multi-city case crossover analysis.	Occupational and environmental medicine	Schwartz J		1	issa_tufts	15550600	pdf	amy	6	yes		
485076	15764722	15764722	"Adolescent,Age Distribution,Air Pollution/*statistics & numerical data,Australia/epidemiology,Case-Control Studies,Causality,Child,Child, Preschool,Cross-Over Studies,Hospitalization/statistics & numerical data,Humans,Infant,Infant, Newborn,New"	RATIONALE: The strength of the association between outdoor air pollution and hospital admissions in children has not yet been well defined. OBJECTIVES: To estimate the impact of outdoor air pollution on respiratory morbidity in children after c	Air pollution and child respiratory health: a case-crossover study in Australia and New Zealand.	American journal of respiratory and critical care medicine	Barnett AG and Williams GM and Schwartz J and Neller AH and Best TL and Petroeschevsky AL and Simpson RW		1	issa_Tufts	15764722	pdf	amy	6	yes		
485946	16024489	16024489	"Air Pollution/*adverse effects/*statistics & numerical data,Data Interpretation, Statistical,Dose-Response Relationship, Drug,Humans,Models, Statistical,Mortality/*trends,Sensitivity and Specificity,United States/epidemiology,*Urban Health"	"This article presents findings from updated analyses of data from 90 U.S. cities assembled for the National Morbidity, Mortality, and Air Pollution Study (NMMAPS). The data were analyzed with a generalized additive model (GAM) using the gamfunc"	"Revised analyses of the National Morbidity, Mortality, and Air Pollution Study: mortality among residents of 90 cities."	Journal of toxicology and environmental health. Part A	Dominici F and McDermott A and Daniels M and Zeger SL and Samet JM		1	issa_tufts	16024489	pdf	amy	6	yes		
484579	16404215	16404215	"Air Pollution/*adverse effects,Canada/epidemiology,Disease Susceptibility,Education,Female,Heart Diseases/chemically induced/*epidemiology,Hospitalization/statistics & numerical data,Humans,Income,Male,Residence Characteristics,Risk,Risk Factor"	"OBJECTIVE: We sought to determine whether gender, education, and income influence the susceptibility to ambient air pollution. METHODS: We determined the association between daily cardiac hospitalizations and daily concentrations of gaseous air"	"Do gender, education, and income modify the effect of air pollution gases on cardiac disease?"	Journal of occupational and environmental medicine / American College of Occupational and Environmental Medicine	Cakmak S and Dales RE and Judek S		1	nira_tufts	16404215	pdf	amy	6	yes		
